tick,iso8601,date,location type,location coordinates,agent infected,age of agent infected,activity of agent infected,agent responsible,age of agent responsible,activity of agent responsible
4820,03/27/2020T11:20:00 ,2020-03-27,Shop,"(4034128.885257571, 2953911.3275973205)",f8a129a81ddb47faa20a37e5eb1aa009,58,Work,398e4b8f3d2b40bab6b807eef85aee04,53,Work
4821,03/27/2020T11:30:00 ,2020-03-27,Shop,"(4034128.885257571, 2953911.3275973205)",8e555d39a7b340bfb83c19e71a6e8119,29,Work,052e87bd2aee4b25be07ee201f59a913,21,Work
4821,03/27/2020T11:30:00 ,2020-03-27,Hospital,"(4045102.858066724, 2979597.322526268)",90e36d0044d641bc9f3a8e1de829c23f,58,Work,c7191813f11e40ac91235a1fcc45dd16,51,Work
4822,03/27/2020T11:40:00 ,2020-03-27,Shop,"(4034128.885257571, 2953911.3275973205)",0fe6ccac58ca4202818c76479a7b72ec,56,Work,aefe40f3e8784ef8bb62b5bcd45c5f8d,36,Work
4823,03/27/2020T11:50:00 ,2020-03-27,Hospital,"(4042258.9607014074, 2950931.6351770703)",fff1f8848cb44b0f931224b28c4521bc,28,Work,3291f2c543a34e419b5c3870f28cacb9,46,Work
4827,03/27/2020T12:30:00 ,2020-03-27,Shop,"(4034128.885257571, 2953911.3275973205)",3456e14e2b034ebc8156ab7f84d39265,38,Work,fc71206205b945f2897197930a3ddc28,28,Work
4827,03/27/2020T12:30:00 ,2020-03-27,Hospital,"(4042258.9607014074, 2950931.6351770703)",d86d9ca998cc4d44b8987399ac2e66f0,57,Work,8c236f775c694277ae2b9906bd94fee0,42,Work
4828,03/27/2020T12:40:00 ,2020-03-27,Shop,"(4034128.885257571, 2953911.3275973205)",6ed856e475bd421b96b2addc8d5ff584,45,Work,d97a0dd26f554c6091193dc1654b7fc7,55,Work
4828,03/27/2020T12:40:00 ,2020-03-27,Hospital,"(4042258.9607014074, 2950931.6351770703)",2eb2ffacec1e478a83aa21c1bff53ed2,46,Work,e4531e47dfd04563a17d89c8397b38de,66,Restaurant
4830,03/27/2020T13:00:00 ,2020-03-27,Hospital,"(4042258.9607014074, 2950931.6351770703)",7afb31c042a24c84840143cd6238cd50,39,Work,38c16915cdba4dd5a7de7a75606dffa7,27,Work
4831,03/27/2020T13:10:00 ,2020-03-27,Shop,"(4034128.885257571, 2953911.3275973205)",5887b03ac38f4da89f7bdd677ddaefb5,44,Work,b0fbeab7efe04d0db4f5d69f52ea403c,45,Work
4831,03/27/2020T13:10:00 ,2020-03-27,Hospital,"(4045102.858066724, 2979597.322526268)",80c07e3f0b064f83a9ce0fb96598cf74,29,Work,a5bf22713b63475aad6641f6acf665e6,22,Work
4834,03/27/2020T13:40:00 ,2020-03-27,Shop,"(4034128.885257571, 2953911.3275973205)",6c93c7b0c53f474e832214cbfaa23046,60,Work,fc71206205b945f2897197930a3ddc28,28,Work
4834,03/27/2020T13:40:00 ,2020-03-27,Shop,"(4034128.885257571, 2953911.3275973205)",5eccaa7661b54cd89850cc5c0f37a76c,24,Work,aefe40f3e8784ef8bb62b5bcd45c5f8d,36,Work
4834,03/27/2020T13:40:00 ,2020-03-27,Hospital,"(4042258.9607014074, 2950931.6351770703)",6c13c85c5d874d46a84a7c3c5ead67ac,20,Work,0b475e9a3a344014b2a9a49dee080fc4,48,Restaurant
4835,03/27/2020T13:50:00 ,2020-03-27,Hospital,"(4042258.9607014074, 2950931.6351770703)",d7abf8e285564e8f80311fb235b8b60b,27,Work,ce72e78d4d31475786563571a7b5304a,34,Work
4837,03/27/2020T14:10:00 ,2020-03-27,Shop,"(4034128.885257571, 2953911.3275973205)",bf1ec50ebad94c42baf0c193ded8d3dc,26,Work,d97a0dd26f554c6091193dc1654b7fc7,55,Work
4837,03/27/2020T14:10:00 ,2020-03-27,Shop,"(4034128.885257571, 2953911.3275973205)",1a5ffdc05ec54660accfd597e3e4884c,61,Work,d97a0dd26f554c6091193dc1654b7fc7,55,Work
4838,03/27/2020T14:20:00 ,2020-03-27,Public Transport,"(4050299.416676124, 2961567.105561428)",49c9cca11b194fac93104c560b59dedc,12,Public Transport,1dc2981b0fac4496afde18183b77aa6e,64,Public Transport
4838,03/27/2020T14:20:00 ,2020-03-27,Hospital,"(4042258.9607014074, 2950931.6351770703)",435398fa640c41e1971e01345dbed049,33,Work,2c09e087b4784be4a9fa2dd68b4646e1,45,Work
4838,03/27/2020T14:20:00 ,2020-03-27,Hospital,"(4042258.9607014074, 2950931.6351770703)",02d74be6bf854576aa4357e02e903faa,43,Work,8ad1a479265f49daa12c3cb920b51929,59,Car
4841,03/27/2020T14:50:00 ,2020-03-27,Care Home,"(4039799.456236095, 2951715.5215086467)",c6ff6b5e6f9f41a3bc8aacd552cbf837,30,Work,9d9664f4272341979ee3491bf6d22f9c,31,Work
4843,03/27/2020T15:10:00 ,2020-03-27,Hospital,"(4042258.9607014074, 2950931.6351770703)",04359d8f6db34f839c8331a1be1c9c58,24,Work,4af76cfc8938465681b68a99bb6148e4,45,Work
4843,03/27/2020T15:10:00 ,2020-03-27,House,"(4034190.864453813, 2953765.3176510395)",69f73bf8d8b948508c11c135456b9147,24,Work,8e3218ae1c82422491f8218bbdb6ed1b,6,School
4845,03/27/2020T15:30:00 ,2020-03-27,Shop,"(4034128.885257571, 2953911.3275973205)",273c46ba830248379bf7825c86113a9f,38,Work,748bcee0cf38496290a5f099003bce94,64,Work
4845,03/27/2020T15:30:00 ,2020-03-27,Hospital,"(4042258.9607014074, 2950931.6351770703)",76031eea10b14282aca9a56bdcb1bb00,34,Work,344abf3b9fc7419c93ad7f65198d47b2,62,House
4846,03/27/2020T15:40:00 ,2020-03-27,Hospital,"(4042258.9607014074, 2950931.6351770703)",5e839f7f92484894ba3e81efd4d15fec,41,Medical,c83d7a18cd9a4281808a7aa0dec98994,30,Work
4847,03/27/2020T15:50:00 ,2020-03-27,Care Home,"(4039799.456236095, 2951715.5215086467)",d88e1f928b604de885ef1f751ead0022,47,Work,92c58833b4c24708b87ea151df1a6f70,58,Work
4847,03/27/2020T15:50:00 ,2020-03-27,Shop,"(4034128.885257571, 2953911.3275973205)",12975326e7164dcdb5832ca1f7ade073,35,Work,66bb6f4c51e040aead44b827ae046f5b,42,Work
4847,03/27/2020T15:50:00 ,2020-03-27,Hospital,"(4063916.0352804908, 2972174.8520156243)",804db3ac3bf04dbd8f94e08ad64f3269,38,Work,a25eb432215a485fbc4d36ef7a41dee7,43,Work
4847,03/27/2020T15:50:00 ,2020-03-27,Hospital,"(4063916.0352804908, 2972174.8520156243)",a48354d5696f48078c3018e1f9fe8780,35,Work,5e10c38d2a0943ac8f4a128e32e10685,62,House
